,start_time,end_time,p_values
311,1369097655.378907,1369097662.472656,1.0
312,1369097740.328492,1369097747.667968,1.0
313,1369097753.773438,1369097761.511718,1.0
314,1369097834.311219,1369097842.984375,0.97409
315,1369098026.461914,1369098036.541015,1.0
316,1369098238.674805,1369098245.853027,0.0
317,1369098391.34375,1369098401.852539,0.0
318,1369098519.216065,1369098526.903808,0.775549
319,1369098580.53711,1369098587.856933,0.0
320,1369099067.644532,1369099075.227539,0.0
321,1369099393.428711,1369099401.493164,0.0
322,1369099427.460938,1369099437.49414,0.0
323,1369099689.19336,1369099696.734863,0.0
324,1369099759.620118,1369099767.146484,0.0
325,1369099881.302735,1369099888.380981,0.0
326,1369099975.726563,1369099983.714843,0.0
327,1369100221.807373,1369100230.67395,0.0
328,1369100932.337891,1369100942.461181,0.0
329,1369101541.535157,1369101549.298462,0.0
330,1369101674.854004,1369101682.34375,0.0
331,1369102550.270508,1369102557.405273,0.0
332,1369102568.682618,1369102576.802734,0.0
333,1369102788.546875,1369102798.984375,0.0
334,1369103025.47522,1369103038.105102,0.0
335,1369103289.191407,1369103299.063476,0.0
336,1369103331.265625,1369103339.649414,0.0
337,1369103788.716065,1369103799.793457,0.0
338,1369103837.887818,1369103845.624023,0.0
339,1369104527.0,1369104535.044433,0.0
340,1369104933.722901,1369104941.6875,0.0
341,1369105390.371094,1369105397.78955,0.0
342,1369105514.51709,1369105522.374511,0.0
343,1369105801.666016,1369105808.980468,0.0
344,1369106039.0,1369106046.757812,0.0
345,1369106114.004883,1369106121.606445,0.0
346,1369106204.583008,1369106211.893066,0.0
347,1369106659.332032,1369106667.086914,1.0
348,1369106820.75,1369106829.951172,1.0
349,1369107202.521485,1369107211.946777,0.158047
350,1369107355.032227,1369107362.875,8e-06
351,1369107362.876953,1369107370.873047,0.0
352,1369108069.632813,1369108076.928711,1.0
353,1369108427.6875,1369108436.099609,1.0
354,1369108570.827149,1369108581.291931,0.0
355,1369108599.472657,1369108610.391601,1.0
356,1369108700.769532,1369108708.750976,0.0
357,1369109693.290772,1369109700.832031,0.0
358,1369109955.364258,1369109962.606445,0.0
359,1369110114.447266,1369110122.722168,0.0
360,1369111019.732422,1369111031.298828,0.0
361,1369111554.668702,1369111563.963867,0.0
362,1369112500.695313,1369112508.349609,0.0
363,1369112555.964844,1369112563.539062,0.0
364,1369113168.84961,1369113178.511474,0.0
365,1369113543.085938,1369113551.09375,0.0
